	LABEL_x	TRACK_ID	label_id	TARGET_ID	DIRECTIONAL_CHANGE_RATE	SPEED	DISPLACEMENT	EDGE_X_LOCATION	EDGE_Y_LOCATION	LABEL_y	POSITION_X	POSITION_Y	POSITION_T	FRAME	ELLIPSE_ASPECTRATIO	AREA	PERIMETER	CIRCULARITY	SOLIDITY	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	timepoint
0	ID6550 ? ID6545	0	6551	6545	0.081630079286822	113.725995166657	632.316533126611	256850.603527659	192965.246759108	ID6550	256534.496997461	192959.527398784	255.76	46	1.62995789426091	134862455.701092	112930.606	0.132885504707184	0.835796139927624	256.535154856251	192.960022225492	0	248.1672029	187.8022076	0	265.4811938	199.1888863	0	46
1	ID6168 ? ID6153	0	6169	6153	0.073810355866138	330.911523461239	1839.86807044449	253897.640795054	209544.719178999	ID6168	253812.394943737	210460.695037848	177.92	32	1.77963948030582	156808321.665801	134768.016	0.108493894956631	0.777583398684925	253.813045821955	210.46123474467	0	247.8552391	200.7487053	0	259.8658454	220.7143885	0	32
2	ID5376 ? ID5308	0	5377	5308	0.037545991233091	497.965953529812	2768.69070162576	248394.425359737	233099.924113673	ID5376	247424.22806279	234087.410445383	5.56	1	1.82794002056214	133037688.575423	159725.056	0.06552974178249	0.716363159963317	247.424862559162	234.088010740728	0	237.2484699	225.3938455	0	256.2782617	241.3039993	0	1
3	ID5468 ? ID5553	0	5469	5553	0.072129173398718	297.419534358027	1653.65261103063	253073.639241204	222984.873441961	ID5468	253232.417482652	223796.311184203	44.48	8	1.07237006273625	189337836.959389	121353.607	0.161562995421889	0.865724774724664	253.233066873554	223.796885088962	0	244.4236373	216.6588591	0	262.2055739	234.4407957	0	8
4	ID5337 ? ID5389	0	5338	5389	0.017079845735762	322.522210825553	1793.22349219007	252430.868206843	226685.729375129	ID5337	252065.872198272	227504.686356272	33.36	6	1.47080875273516	180092350.189335	132272.311999999	0.1293502404207	0.842860396265088	252.066518597663	227.505269770792	0	245.2035468	219.1545695	0	260.9577187	237.8723975	0	6
5	ID5721 ? ID5712	0	5722	5712	0.061496705837281	152.940595243153	850.34970955193	251121.884797317	215972.820642321	ID5721	251093.353769865	215548.604143813	88.96	16	1.04846632225865	135592362.551359	90157.3070000002	0.209625074633396	0.865171155786696	251.093997675345	215.549156898098	0	243.4877459	208.3918184	0	257.5261169	223.054117	0	16
6	ID5991 ? ID6000	0	5992	6000	0.055114327491383	167.096669172573	929.057480599505	254020.042767173	214980.910658931	ID5991	253757.66952088	215364.247625834	150.12	27	1.26704176316293	131091270.308043	122289.496	0.110155281767634	0.810591244170304	253.758320258742	215.36479990735	0	246.6073839	207.9238727	0	261.2696825	224.7699179	0	27
7	ID6225 ? ID6250	0	6226	6250	0.011058703641001	344.892318496442	1917.60129084022	255317.175522567	202491.174572742	ID6225	255167.118779319	203438.160133066	200.16	36	1.3493110909148	216101088.135865	121041.644	0.185351963207997	0.85568400770713	255.167773131592	203.438681831254	0	248.011221	193.8855017	0	264.7012843	215.5669858	0	36
8	ID5359 ? ID5337	0	5360	5337	0.006737794105446	217.301233422696	1208.19485783019	251768.741819885	228030.659018928	ID5359	251471.611441498	228556.631681584	27.8	5	1.47789225005558	168778794.010188	112306.68	0.168157625292843	0.854362953383829	251.472256316953	228.557217793715	0	244.7356011	220.2464428	0	259.8658454	238.1843613	0	5
9	ID6153 ? ID6188	0	6154	6188	0.020071023155518	345.403557904076	1920.44378194667	254177.785790256	207688.509092089	ID6153	253982.886646371	208628.74332015	183.48	33	1.78825320182054	168146208.07329	127904.830000001	0.12915851772135	0.807973344245046	253.983537961771	208.629278329084	0	248.011221	199.1888863	0	261.4256644	219.3105514	0	33
10	ID5389 ? ID5468	0	5390	5468	0.038031364513827	380.572665614421	2115.98402081618	253014.140849033	224831.541789094	ID5389	252795.864215414	225866.772393986	38.92	7	1.26586594511688	182914656.677036	118233.977	0.164427242707083	0.868781417923385	252.796512486818	225.867351608247	0	245.5155106	218.5306419	0	261.7376282	236.0006147	0	7
11	ID5494 ? ID5518	0	5495	5518	0.023730609529095	413.232465473777	2297.5725080342	252511.747569099	219426.210886615	ID5494	252590.045824133	220572.325732814	55.6	10	1.1260751525823	220869812.890946	113554.532	0.215247087529345	0.885313048566413	252.590693567735	220.57289136996	0	243.1757821	212.2913659	0	260.9577187	231.6331215	0	10
12	ID5805 ? ID5858	0	5806	5858	0.463547693433481	180.678778184734	1004.57400670712	252590.765330146	217339.380178719	ID5805	252644.774754601	217838.755003683	116.76	21	1.63969681275661	86542622.2133833	88285.5290000004	0.139527838639748	0.781071585419409	252.645422638516	217.839313630812	0	246.9193477	210.1076193	0	257.5261169	227.5775921	0	21
13	ID5924 ? ID5948	0	5925	5948	0.021658503345805	78.7832540925968	438.034892754838	253020.301508471	216816.129130577	ID5924	252867.999464497	216973.522679425	133.44	24	1.62483298803051	108391167.264724	104195.642	0.125459816341053	0.770161638862478	252.86864792092	216.974079087811	0	247.0753296	208.8597641	0	258.929954	227.2656283	0	24
14	ID5858 ? ID5855	0	5859	5855	0.538759623836308	61.7360653682047	343.252523447218	252579.852582165	217006.132564621	ID5858	252536.755905691	216840.005353755	122.32	22	1.31886011209381	86907575.6385171	85165.8989999998	0.15056916044255	0.814223843173012	252.537403512598	216.840561419681	0	246.6073839	209.7956555	0	257.9940626	223.8340265	0	22
15	ID5785 ? ID5805	0	5786	5805	0.013065850861256	29.2667208060899	162.72296768186	252594.122791024	217775.083427304	ID5785	252543.470827447	217711.411850926	111.2	20	1.53900669719058	81360283.5764841	83294.1209999998	0.147364752396644	0.763121862163396	252.544118451615	217.711970151525	0	247.2313115	210.7315469	0	257.5261169	227.1096464	0	20
16	ID5336 ? ID5376	0	5337	5376		439.414101211834	2443.1424027378	246406.108967076	234762.443560835	ID5336	245387.989871363	235437.476676287	0	0	1.97442777895412	148852336.997886	153485.796	0.079401579147095	0.704960534654608	245.388619145881	235.438080433638	0	234.4407957	227.733574	0	256.1222798	242.3958726	0	0
17	ID6400 ? ID6458	0	6401	6458	0.005950502380445	204.06196600696	1134.5845309987	256010.35907764	196306.727218028	ID6400	256198.827453851	196841.797480389	233.52	42	1.30544231789825	154448289.516603	99516.1969999996	0.195977144141549	0.8852939125584	256.199484451827	196.842302262807	0	248.7911305	189.5180085	0	264.2333386	205.2721804	0	42
18	ID5855 ? ID5924	0	5856	5924	0.35942223521536	56.7462537078622	315.509170615714	252745.474361568	217072.891227456	ID5855	252622.949258639	217172.259775487	127.88	23	1.64997464157534	96007081.0385185	93900.8630000003	0.136827679728317	0.76096808408061	252.623597086594	217.172816693462	0	246.7633658	209.9516374	0	257.9940626	227.2656283	0	23
19	ID5618 ? ID5626	0	5619	5626	0.080600046781647	83.8008120106175	465.932514779033	251533.223228771	214835.867997136	ID5618	251764.658970338	214862.528353614	77.84	14	1.21416691547216	180408643.157784	106691.346	0.19916307176882	0.895910106929258	251.765304597303	214.86307934851	0	243.7997097	206.2080718	0	258.929954	223.8340265	0	14
20	ID5948 ? ID5997	0	5949	5997	0.031065646294817	111.800830221349	621.612616030701	253347.130776865	216401.557026949	ID5948	253172.603552445	216658.735581729	139	25	1.38454347889875	122964974.041732	111682.754	0.123885094654059	0.765235824059354	253.173252789949	216.659291182825	0	247.5432753	208.3918184	0	260.3337911	226.3297369	0	25
21	ID6210 ? ID6225	0	6211	6225	0.005935305149427	298.567925544617	1660.03766602807	254987.088243083	204248.419516956	ID6210	254807.057706847	205058.678900845	194.6	35	1.46498665379737	203425039.169552	131648.386	0.14749700240709	0.840597194993214	254.807711135773	205.059204754694	0	248.1672029	195.6013026	0	264.0773567	216.6588591	0	35
22	ID6495 ? ID6550	0	6496	6550	0.192311352556993	165.579685439857	920.623051045605	256117.204155979	193153.829701851	ID6495	255699.911314497	193348.132004918	250.2	45	1.39211556910796	148657695.171148	101699.938	0.180615859774865	0.852161785216178	255.700567033044	193.348627828151	0	247.0753296	187.4902438	0	265.4811938	200.5927234	0	45
23	ID6298 ? ID6372	0	6299	6372	0.178011019702018	61.0294081012228	339.323509042799	256470.554426906	198538.383554399	ID6298	256306.515115148	198581.698853604	216.84	39	1.34835054339804	195590705.643348	124473.237	0.158637592365679	0.854621804071653	256.307172389265	198.582208097823	0	248.6351486	189.0500628	0	264.5453024	209.4836917	0	39
24	ID6458 ? ID6459	0	6459	6459	0.035417477849707	245.308800409047	1363.9169302743	255725.553336372	195096.537366063	ID6458	255821.890701428	195771.656955666	239.08	43	1.1808910507403	142112863.747082	91717.1220000003	0.212296296561824	0.885603820786899	255.822546732785	195.772158993802	0	248.6351486	189.3620266	0	263.7653929	203.0884338	0	43
25	ID5997 ? ID5991	0	5998	5991	0.05439923429206	146.591624259883	815.049430884944	253639.663761082	215754.313049002	ID5997	253521.658001285	216144.37847217	144.56	26	1.44388469373776	124960052.765796	114490.421	0.119796121946389	0.776417233560092	253.522308133898	216.144932754244	0	247.8552391	208.5478003	0	260.489773	226.7976826	0	26
26	ID5780 ? ID5769	0	5781	5769	0.106471525143933	121.39665862227	674.965421939818	251677.463731879	216947.744303785	ID5780	251375.814079488	216796.410013499	100.08	18	1.21304804296115	93841690.7160582	76430.9350000002	0.201867936108217	0.843613298337707	251.376458709282	216.796965967643	0	244.7356011	210.8875288	0	257.370135	223.054117	0	18
27	ID6085 ? ID6168	0	6086	6168	0.017837174754182	292.333421989484	1625.37382626153	254066.177072262	211232.740794274	ID6085	254319.959200787	212004.7865507	172.36	31	1.72699775963823	146954579.18719	116050.236	0.137120040089044	0.813851647241123	254.320611380546	212.005330217152	0	248.4791667	201.5286148	0	261.8936101	220.5584066	0	31
28	ID5308 ? ID5313	0	5309	5313	0.043812125626089	284.431138168752	1581.43712821826	249766.382824491	231431.391076376	ID5308	249364.622656684	232112.437781963	11.12	2	1.78682369492884	133524293.142268	125409.126	0.106687089941467	0.761693268563498	249.365262129009	232.113033012664	0	240.8360536	223.8340265	0	256.9021893	240.8360536	0	2
29	ID5553 ? ID5494	0	5554	5494	0.001244385712089	293.835467368513	1633.72519856893	252752.453411944	221372.880716267	ID5553	252914.860999756	222173.435699719	50.04	9	1.04572237117573	199483542.178108	119481.829	0.175595430923809	0.857008466603951	252.915509576314	222.174005442761	0	243.4877459	214.4751125	0	261.8936101	232.1010672	0	9
30	ID5358 ? ID5359	0	5359	5359	0.005243976886736	214.151904118549	1190.68458689913	251159.578854158	229063.650528184	ID5358	250847.546266818	229570.669374784	22.24	4	1.65069825111784	154034675.634785	112930.606	0.151776678748182	0.837710883228581	250.848189541984	229.57125808738	0	243.4877459	221.494298	0	258.929954	239.1202527	0	4
31	ID5564 ? ID5618	0	5565	5618	0.159723613641889	121.324418296516	674.56376572863	252049.915282397	215042.494753087	ID5564	252335.171594456	215222.461152559	72.28	13	1.05863993054228	192427775.958855	100140.123	0.241135628509444	0.902132998745294	252.335818684448	215.223013070464	0	244.2676554	206.8319994	0	260.6457549	224.1459903	0	13
32	ID6035 ? ID6082	0	6036	6082	0.01139842810242	109.587266945524	609.305204217111	254555.878269857	213710.580278386	ID6035	254478.597869019	214005.268160081	161.24	29	1.32825195248871	126517187.3797	90469.2699999999	0.19424829724931	0.821160679036715	254.479250455654	214.005816956635	0	247.8552391	206.5200356	0	262.6735196	221.0263523	0	29
33	ID6188 ? ID6210	0	6189	6210	0.008497152137939	313.76589904343	1744.53839868147	254589.871320493	205903.476882437	ID6188	254372.68493414	206748.274864028	189.04	34	1.714335319161	189629799.699497	122913.422	0.15773128103068	0.834475374732335	254.373337249192	206.748805050718	0	247.8552391	197.3171035	0	262.6735196	217.9067143	0	34
34	ID5518 ? ID5540	0	5519	5540	0.017871432063572	320.517839107328	1782.07918543674	252461.205079151	217389.488846814	ID5518	252433.449314065	218280.096040416	61.16	11	1.12755369821806	215784795.167415	104507.605	0.248276099306642	0.907500255806813	252.434096656094	218.280655799357	0	242.8638183	210.4195831	0	260.489773	228.2015197	0	11
35	ID5712 ? ID5780	0	5713	5780	0.080334914556528	82.4798778644921	458.588120926576	251263.114952128	216596.723577164	ID5712	251150.415824769	216397.037140829	94.52	17	1.20468119019909	107271976.76098	70191.675	0.273605570561529	0.887926694189911	251.151059876593	216.397592070855	0	243.9556916	210.1076193	0	257.8380807	222.5861713	0	17
36	ID5313 ? ID5358	0	5314	5358	0.001878256136289	244.843692753524	1361.3309317096	250507.844629558	230160.506872787	ID5313	250168.142992298	230750.34437079	16.68	3	1.76336527027587	135957315.976493	110434.902	0.140087616491588	0.812504543802255	250.168784525161	230.750936108518	0	243.4877459	222.5861713	0	257.6820988	239.7441803	0	3
