	TRACK_ID	SOURCE_ID	TARGET_ID	EDGE_X_LOCATION	EDGE_Y_LOCATION	SPLITTING_EVENT	LINEAGE	POSITION_X	POSITION_Y	FRAME
3	0	2131	2115	205736.30396076682	154862.17950656323	False		205833.79772107484	155337.1397947603	0
4	0	2648	2769	196706.38413210213	138815.91858089925	False		197201.97685354803	139410.01739589332	19
5	0	2690	2722	198070.78007939202	140593.13298957676	False		198169.58078331224	141131.32342477707	17
6	0	3545	3624	182032.5735616873	131712.84293987392	False		182397.54344729474	131385.60531719972	43
7	0	3405	3442	185769.14264129885	129388.38541297989	False		186180.5349325779	129157.51909949648	39
8	0	2185	2063	205618.4552342876	151216.69355100364	False		205679.96293889027	151800.38298733236	4
9	0	2330	2527	200695.81560274411	144540.90435657266	False		201103.7351834356	144948.2904068171	13
10	0	3343	3405	186685.8151359992	128797.66708400685	False		187191.0953394205	128437.81506851723	38
11	0	3474	3507	184206.72872855933	129821.07082992198	False		184610.88297385044	129675.6246379408	41
12	0	3119	3108	196182.04220159363	128481.06249070466	False		196196.02394549796	129061.34498054966	29
13	0	3692	3731	179252.15811488213	131915.19807277148	False		180163.11521388835	132514.56058722435	47
14	0	3025	3030	196133.2696832787	130461.33040554618	False		196087.0820211859	130915.04201381301	27
15	0	2305	2516	199042.36592439536	142485.88449052477	False		199513.55768025992	142988.65797455807	15
16	0	2516	2690	198370.37747592153	141557.21721563427	False		198571.1741685308	141983.11100649147	16
17	0	3190	3228	194104.63768001035	126114.14993904837	False		194872.3695459335	126171.22921932068	32
18	0	3507	3545	183100.05896528147	130676.06116955145	False		183802.5744832682	129966.51702190319	42
19	0	2614	2470	203394.35002203294	147037.4911744512	False		203777.5842188324	147368.35834332343	9
20	0	3114	3190	195274.786413399	126424.43969477818	False		195677.20328086452	126677.65017023569	31
21	0	2063	2163	205514.79912180873	150128.43380315648	False		205556.94752968493	150633.00411467496	5
22	0	3108	3114	195922.63186927693	127289.21508554768	False		196168.0604576893	127900.78000085965	30
23	0	2769	2826	195987.16333767824	137618.01848552487	False		196210.79141065627	138221.81976590515	20
24	0	2553	2614	204131.6949115528	147636.29404701857	False		204485.8056042732	147904.22975071368	8
25	0	3442	3474	184984.31666193513	129647.43818220205	False		185357.7503500198	129619.25172646329	40
26	0	2470	2422	202747.12699795107	146366.5257877917	False		203011.1158252335	146706.62400557892	10
27	0	3615	3692	180420.59164871415	132461.55452365836	False		180678.06808353998	132408.5484600924	46
28	0	2958	3025	195917.84977103272	131402.34465133428	False		195748.61752087955	131889.6472888555	26
29	0	3317	3354	188981.0526756761	127642.47771784815	False		189524.23911116886	127566.43487001391	36
30	0	3030	3119	196187.7406454347	129534.48188891451	False		196179.45734537145	130007.61879727934	28
31	0	2115	2178	205630.67100738446	153945.79749086197	False		205638.8102004588	154387.21921836614	1
32	0	3228	3241	192653.47452582477	126168.43744096189	False		193336.9058140872	126057.07065877604	33
33	0	3624	3629	181410.22519281443	132193.1605320626	False		181667.60367607992	132040.08056254813	44
34	0	2422	2353	202165.24991775295	145755.67912005028	False		202483.13817066868	146026.42757000445	11
35	0	2953	2958	195615.84541051363	132396.4474658575	False		195483.07330014775	132903.2476428595	25
36	0	3241	3283	191313.63100783475	126743.36841015826	False		191970.04323756238	126279.80422314773	34
37	0	2163	2047	205494.92350777925	149139.73545655937	False		205472.65071393253	149623.86349163804	6
38	0	2527	2305	199900.72685115627	143561.08814044314	False		200287.89602205262	144133.5183063282	14
39	0	2353	2330	201475.54842413642	145216.6105384566	False		201847.36166483723	145484.93067009607	12
40	0	2908	2953	195601.04892072326	133352.61129643122	False		195719.02454129874	133801.97495000297	24
41	0	3283	3317	190090.728944638	127386.68373359136	False		190657.21877810708	127206.93259716881	35
42	0	3629	3615	180915.45739654446	132377.39448083474	False		181152.84670954896	132346.2405015771	45
