	LABEL_x	TRACK_ID	label_id	TARGET_ID	DIRECTIONAL_CHANGE_RATE	SPEED	DISPLACEMENT	EDGE_X_LOCATION	EDGE_Y_LOCATION	LABEL_y	POSITION_X	POSITION_Y	POSITION_T	FRAME	ELLIPSE_ASPECTRATIO	AREA	PERIMETER	CIRCULARITY	SOLIDITY	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	timepoint
0	ID2877 ? ID2895	0	2878	2895	0.008929210983317762	289.0943676820074	1725.8933750615877	80128.79894366005	213630.75805691886	ID2877	80991.06170497453	213596.40815195977	125.36999999999999	21	1.9488373729943582	2.941552003727729E8	140729.9124000001	0.18664379660149966	0.8125622303352131	81.0039595093638	213.630423321444	0	68.6427588	204.7148943	0	99.3239919	221.7022437	0	21
1	ID3192 ? ID3223	0	3193	3223	0.03632783698899848	116.6165327731095	696.2007006554636	68042.34875737771	212027.13908914686	ID3192	68206.94839761111	211720.41313274062	185.07	31	1.1236070610003974	2.7141697034293634E8	152861.8014000003	0.14596506197436898	0.7717140661029975	68.2178103354582	211.754129550531	0	57.7223199	199.341345	0	82.8566634	222.2222646	0	31
2	ID2679 ? ID2843	0	2680	2843	0.06392091197778826	135.7440284884824	810.3918500762397	85598.75009648906	214059.9010005642	ID2679	85995.10140160024	214144.09946019473	101.49	17	1.7463023670828401	2.9313393244540894E8	144889.41720000008	0.175469899420702	0.8321466638243438	86.0087960979404	214.17820184937	0	74.0163081	204.1948734	0	103.6574994	221.875584	0	17
3	ID3151 ? ID3141	0	3152	3141	0.022895074811181203	150.82365317982553	900.4172094835583	68752.0542475579	211236.89475084725	ID3151	69070.33805965434	211555.3020415001	173.13	29	1.2154700620215653	3.0226526920772135E8	135877.15680000023	0.2057335932493882	0.8141585760517797	69.08133749207	211.588992165398	0	59.2823826	199.6880256	0	84.7634067	221.7022437	0	29
4	ID3570 ? ID3577	0	3571	3577	0.03219101430324152	275.5438309170071	1644.996670574532	58484.50379010418	208304.47014405738	ID3570	59180.313324880866	208743.05035663449	250.73999999999998	42	1.8361556323419665	2.788662187542964E8	138996.78540000023	0.1813828657528719	0.834554361993798	59.1897377735674	208.776292630224	0	46.801881	200.0347062	0	76.269732	215.6353332	0	42
5	ID2195 ? ID2159	0	2196	2159	0.011022699659298323	191.12587661254244	1141.0214833768782	99045.63194263108	215847.71076666808	ID2195	99519.93720486732	216164.7549664209	17.91	3	1.4337316896905072	2.8691621300528234E8	151821.9252000001	0.156421326844153	0.776553798626072	99.5357857276068	216.199179144441	0	88.2302127	206.1016167	0	116.4846816	224.8223691	0	3
6	ID2479 ? ID2560	0	2480	2560	0.08591803479942585	129.4767882351698	772.9764257639636	93067.93802472044	216170.92347590486	ID2479	93454.3643355731	216164.00646950703	53.73	9	1.856002059462228	2.7679364560758746E8	133104.15360000008	0.19632823556064127	0.812610229276896	93.4692469174932	216.198430528323	0	80.7765798	208.5283809	0	110.4177711	225.6890706	0	9
7	ID3663 ? ID3682	0	3664	3682	0.003047823929964445	363.2274556114868	2168.467910000586	53477.4778174588	206921.9543570993	ID3663	54542.36732811248	207125.85040727037	268.65	45	1.684985814007804	2.6796268176508832E8	148009.0458000003	0.15371196059142786	0.8057625434674621	54.5510531851698	207.158835142215	0	43.335075	197.607942	0	71.2428633	215.2886526	0	45
8	ID2851 ? ID2724	0	2852	2724	0.039162147911726605	200.37969443086877	1196.2667757522863	83409.8187344936	213637.9921707849	ID2851	84007.71002490722	213655.0084729606	113.42999999999999	19	2.0770171402810953	3.035268354709357E8	135183.9060000003	0.2087165927976643	0.8397390617858481	84.021088229718	213.689032974537	0	71.7628842	204.0215331	0	103.3108188	220.8355422	0	19
9	ID2385 ? ID2438	0	2386	2438	0.08899046766861984	102.83446550476707	613.9217590634593	89959.92312197454	215154.17280312252	ID2385	90157.7794786259	215388.85949574813	71.64	12	1.7482106621116484	2.922928882699329E8	146275.9187999998	0.1716652709512497	0.8306799265867086	90.1721370803103	215.423160112619	0	78.5231559	207.1416585	0	106.7776248	224.3023482	0	12
10	ID2438 ? ID2589	0	2439	2589	0.08966579874702929	136.44541301111732	814.5791156763703	89377.42323906324	214785.56769641457	ID2438	89762.0667653232	214919.48611049692	77.61	13	1.7795439293261734	3.113365313860706E8	152515.17600000033	0.16819528850443202	0.8039557882489816	89.7763613498698	214.953711979797	0	77.8297947	206.1016167	0	107.8176666	223.9556676	0	13
11	ID3443 ? ID3474	0	3444	3474	0.040173033509965914	207.61399178274198	1239.4555309429693	61688.181354623855	210964.07192933257	ID3443	62209.25935247574	211299.5420821792	232.82999999999998	39	2.0914661051889243	2.639376846395953E8	157714.5570000005	0.13334222749471486	0.8058880176090253	62.2191661599863	211.333191476374	0	49.7486661	203.1548316	0	79.3898574	219.7955004	0	39
12	ID3085 ? ID3151	0	3086	3151	0.0560089234856201	223.4851044716061	1334.2060736954882	69473.27365776536	212086.96863396798	ID3085	69876.20925587635	212618.63522643587	167.16	28	1.2121395056926503	3.0442795423037404E8	144889.4172000002	0.18223049806627856	0.7996370665509482	69.8873370230587	212.652494685851	0	60.1490841	200.9014077	0	85.9767888	223.0889661	0	28
13	ID2651 ? ID2679	0	2652	2679	0.0708025016170735	165.74376047850612	989.4902500566814	86482.5220703078	214059.2830086302	ID2651	86969.94273901534	213974.46655706572	95.52	16	1.5464402539533877	3.110962330502207E8	149742.17280000017	0.1743477533073422	0.8383180217734435	86.9837926785749	214.008541932258	0	74.7096693	202.9814913	0	104.6975412	222.2222646	0	16
14	ID3382 ? ID3411	0	3383	3411	0.013412192473276354	177.62530923037238	1060.4230961053229	63746.582485514606	211803.30791430356	ID3382	64255.43039058095	211952.29816632692	220.89	37	1.8664429477808966	2.4678639091827852E8	131717.65200000035	0.17874878976380604	0.7988720890660698	64.2656630502678	211.986051511745	0	52.6954512	204.541554	0	79.9098783	220.3155213	0	37
15	ID2989 ? ID2986	0	2990	2986	0.017104496440142912	217.43356483265575	1298.0783820509546	74924.83716315131	213986.35037115635	ID2989	75567.10013074445	213892.8081243079	143.28	24	1.4338611555388074	2.976996008265653E8	144889.41720000055	0.17820290738380654	0.7599585937200479	75.5791341707396	213.926870495409	0	65.0026125	203.1548316	0	93.0837411	224.8223691	0	24
16	ID3474 ? ID3542	0	3475	3542	0.03216976359817045	226.22092837293206	1350.5389423864042	60679.53557262863	210161.4117566962	ID3474	61167.103356771964	210628.6017764859	238.79999999999998	40	2.080285249129257	2.721679026424688E8	152861.80140000043	0.14636890510732137	0.8475353100738943	61.176844201225	210.662144323618	0	49.0553049	202.6348107	0	78.3498156	217.8887571	0	40
17	ID3223 ? ID3376	0	3224	3376	0.03168056502342989	110.34847357283189	658.7803872298063	67670.2068337987	212589.64639802696	ID3223	67877.7491171443	212333.8650455531	191.04	32	1.1127296532944486	2.6667107820989263E8	163953.81419999985	0.12466448059290586	0.7458310580921581	67.8885586300969	212.367679155395	0	57.202299	200.0347062	0	82.8566634	222.9156258	0	32
18	ID2565 ? ID2651	0	2566	2651	0.027877420030604623	202.00361119843095	1205.9615588546326	87554.11780272554	214123.88314014126	ID2565	88138.29286643573	214273.29972321677	89.55	15	1.7264789161708747	3.229609633828302E8	145582.6679999999	0.1914875522188068	0.8235924932975875	88.1523288654297	214.3074226875	0	75.5763708	203.8481928	0	106.6042845	222.3956049	0	15
